ticket,time,time_msc,time_update,time_update_msc,type,magic,identifier,reason,volume,price_open,sl,tp,price_current,swap,profit,symbol,comment,external_id
5214395089,2024-09-17 15:20:36,1726586436166,1726586436,1726586436166,0,0,5214395089,3,0.5,6627.82,6568.32,0.0,6627.351,0.0,-0.23,Volatility 10 Index,19.3417835235595,
5214403850,2024-09-17 15:30:30,1726587030180,1726587030,1726587030180,0,0,5214403850,3,0.5,6627.758,6568.32,0.0,6629.683,0.0,0.96,Volatility 10 Index,19.2400150299072,
5214408561,2024-09-17 15:35:46,1726587346191,1726587346,1726587346191,0,0,5214408561,3,0.5,6629.922,6568.32,0.0,6632.183,0.0,1.13,Volatility 10 Index,21.2790546417236,
5214416887,2024-09-17 15:46:20,1726587980182,1726587980,1726587980182,0,0,5214416887,3,0.5,6632.454,6568.32,0.0,6635.807,0.0,1.6800000000000002,Volatility 10 Index,22.8770065307617,
5214420317,2024-09-17 15:50:58,1726588258179,1726588258,1726588258179,0,0,5214420317,3,0.5,6635.85,6568.32,0.0,6637.848,0.0,1.0,Volatility 10 Index,26.5931892395019,
5214428200,2024-09-17 16:01:32,1726588892179,1726588892,1726588892179,0,0,5214428200,3,0.5,6637.567,6571.094,0.0,6636.894,0.0,-0.34,Volatility 10 Index,3.39422869682312,
5214431713,2024-09-17 16:06:14,1726589174190,1726589174,1726589174190,0,0,5214431713,3,0.5,6637.469,6571.094,0.0,6632.264,0.0,-2.6,Volatility 10 Index,2.46943950653076,
5214439884,2024-09-17 16:16:46,1726589806173,1726589806,1726589806173,1,0,5214439884,3,0.5,6632.298,6663.077,0.0,6632.264,0.0,0.02,Volatility 10 Index,-1.9311223030090,
5214442974,2024-09-17 16:21:28,1726590088177,1726590088,1726590088177,1,0,5214442974,3,0.5,6632.031,6663.077,0.0,6629.303,0.0,1.3599999999999999,Volatility 10 Index,-2.0332581996917,
5214450328,2024-09-17 16:31:58,1726590718185,1726590718,1726590718185,1,0,5214450328,3,0.5,6629.316,6663.077,0.0,6628.121,0.0,0.6,Volatility 10 Index,-5.0701255798339,
5214454044,2024-09-17 16:36:40,1726591000199,1726591000,1726591000199,1,0,5214454044,3,0.5,6628.248,6663.077,0.0,6631.986,0.0,-1.87,Volatility 10 Index,-6.2225346565246,
5214460852,2024-09-17 16:47:10,1726591630176,1726591630,1726591630176,1,0,5214460852,3,0.5,6631.446,6663.077,0.0,6630.863,0.0,0.29,Volatility 10 Index,-2.4738178253173,
5214464306,2024-09-17 16:51:52,1726591912178,1726591912,1726591912178,1,0,5214464306,3,0.5,6630.821,6663.077,0.0,6634.226,0.0,-1.7,Volatility 10 Index,-3.5145447254180,
